"Concept","File","Lines"
"ContinuationStatus","agent\continuity\result.py","26"
"LifecycleStatus","agent\lifecycle.py","29, 171"
"operation_id","agent\checkpoint.py","30, 136, 140"
"operation_id","agent\control.py","17, 23, 25"
"operation_id","agent\lifecycle.py","168, 212, 221"
"operation_id","agent\resume.py","82, 86, 93"
"operation_id","agent\server.py","115, 125, 153"
"operation_id","agent\context\adapters.py","233, 239, 257"
"operation_id","agent\context\unified.py","27, 177, 228"
"operation_id","agent\context\work_model.py","42, 84, 93"
"operation_id","agent\continuity\execution.py","45, 51, 68"
"operation_id","agent\continuity\reconstruction.py","32, 33, 95"
"operation_id","agent\continuity\result.py","42"
"operation_id","agent\continuity\test_n4_execution.py","38, 39, 61"
"operation_id","agent\continuity\test_n4_golden.py","84"
"operation_id","agent\continuity\test_n4_reconstruction.py","92, 93, 94"
"operation_id","agent\continuity\__init__.py","61, 76, 85"
"operation_id","agent\ecosystem\capabilities.py","58, 61"
"operation_id","agent\ecosystem\routes.py","190, 192, 199"
"device_id","agent\checkpoint.py","38, 138, 156"
"device_id","agent\lifecycle.py","179, 280, 301"
"device_id","agent\context\adapters.py","33, 47, 52"
"device_id","agent\context\capture.py","16, 59"
"device_id","agent\context\device.py","99, 109, 110"
"device_id","agent\context\portable_work.py","25, 304, 314"
"device_id","agent\context\unified.py","26, 66, 85"
"device_id","agent\context\work_model.py","24, 61, 148"
"device_id","agent\context\__init__.py","65, 116"
"device_id","agent\continuity\result.py","46"
"device_id","agent\ecosystem\identity.py","53"
"work_id","agent\context.py","219, 229, 230"
"work_id","agent\context\portable_work.py","151, 197, 260"
"work_id","agent\context\work_model.py","39, 54, 79"
"work_id","agent\continuity\execution.py","44, 51, 67"
"work_id","agent\continuity\reconstruction.py","30, 81, 82"
"work_id","agent\continuity\result.py","41"
"work_id","agent\continuity\test_n4_execution.py","36, 59, 98"
"work_id","agent\continuity\test_n4_golden.py","49, 83"
"work_id","agent\continuity\test_n4_reconstruction.py","30, 91"
"work_id","agent\continuity\test_n4_validation.py","35, 47, 66"
"work_id","agent\continuity\validation.py","59, 94, 168"
"work_id","agent\continuity\__init__.py","60, 75, 84"
"WorkState","agent\lifecycle.py","161"
"artifact_id","agent\artifacts.py","101, 117, 141"
"artifact_id","agent\lifecycle.py","127, 141, 153"
"artifact_id","agent\context\adapters.py","182, 190, 196"
"artifact_id","agent\context\capture.py","14, 88, 90"
"artifact_id","agent\context\portable_work.py","24"
"artifact_id","agent\context\unified.py","22, 155"
"artifact_id","agent\context\work_model.py","29, 46, 66"
"artifact_id","agent\context\__init__.py","68, 119"
"artifact_id","agent\continuity\resolution.py","54, 128"
