"Subsystem","Path","Status"
"N3 (PortableWork)","agent/context/portable_work.py","EXISTS"
"S18 (Work Lifecycle)","agent/lifecycle.py","EXISTS"
"S18 (Work Lifecycle)","agent/checkpoint.py","EXISTS"
"S18 (Work Lifecycle)","agent/resume.py","EXISTS"
"S18 (Work Lifecycle)","agent/control.py","EXISTS"
"S18 (Work Lifecycle)","agent/work.py","EXISTS"
"N2 (SemanticWorkModel)","agent/context/work_model.py","EXISTS"
"S17 (Device Identity)","agent/context/device.py","EXISTS"
"EIP-1 (Ecosystem/Auth)","agent/ecosystem/__init__.py","EXISTS"
"S12 (Artifact Identity)","agent/artifacts.py","EXISTS"
"N4 (Target Continuation)","agent/continuity/__init__.py","EXISTS"
"N4 (Target Continuation)","agent/continuity/result.py","EXISTS"
"N4 (Target Continuation)","agent/continuity/validation.py","EXISTS"
"N4 (Target Continuation)","agent/continuity/resolution.py","EXISTS"
"N4 (Target Continuation)","agent/continuity/reconstruction.py","EXISTS"
"N4 (Target Continuation)","agent/continuity/execution.py","EXISTS"
